config,selector,channel,bit_depth,psss_backend_kind,n_videos,total_frames,total_quality_frames,valid_frame_ratio,mean_psnr,mean_ssim,mean_lpips,mean_latent_elements,mean_total_bundle_bytes,analog_no_wire_bytes,total_nan_or_inf_frames,baseline_config,psnr_drop_db,ssim_drop,lpips_rise,within_quality_gate,quality_gate_failure_reason,rank,selected_as_smallest_in_budget
skem_int4,skem,int4,4,proxy,10,1000,1000,1.0,23.469648214340214,0.7335362510383129,0.25190738185495143,271974.4,2394550.1,False,0,fixed_awgn,-0.1343854122161936,-0.004292944222688666,-0.004277890585362876,True,,0,True
fixed_int4,fixed,int4,4,,10,1000,1000,1.0,23.469646310806276,0.7335362441837787,0.2519071957543493,271974.4,2394650.1,False,0,fixed_awgn,-0.13438350868225513,-0.0042929373681545036,-0.0042780766859650265,True,,1,False
