video,threshold,max_segment_length,psss_backend_kind,n_frames,n_keyframes,keyframe_indices
05_camera_pan_person,0.45,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
05_camera_pan_person,0.45,24,proxy,100,5,"[0, 24, 48, 72, 96]"
05_camera_pan_person,0.45,32,proxy,100,4,"[0, 32, 64, 96]"
05_camera_pan_person,0.55,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
05_camera_pan_person,0.55,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
05_camera_pan_person,0.55,24,proxy,100,5,"[0, 24, 48, 72, 96]"
05_camera_pan_person,0.55,32,proxy,100,4,"[0, 32, 64, 96]"
06_handheld_sign,0.25,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
06_handheld_sign,0.25,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
06_handheld_sign,0.25,24,proxy,100,5,"[0, 24, 48, 72, 96]"
06_handheld_sign,0.25,32,proxy,100,4,"[0, 32, 64, 96]"
06_handheld_sign,0.35,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
06_handheld_sign,0.35,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
06_handheld_sign,0.35,24,proxy,100,5,"[0, 24, 48, 72, 96]"
06_handheld_sign,0.35,32,proxy,100,4,"[0, 32, 64, 96]"
06_handheld_sign,0.45,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
06_handheld_sign,0.45,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
06_handheld_sign,0.45,24,proxy,100,5,"[0, 24, 48, 72, 96]"
06_handheld_sign,0.45,32,proxy,100,4,"[0, 32, 64, 96]"
06_handheld_sign,0.55,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
06_handheld_sign,0.55,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
06_handheld_sign,0.55,24,proxy,100,5,"[0, 24, 48, 72, 96]"
06_handheld_sign,0.55,32,proxy,100,4,"[0, 32, 64, 96]"
07_person_enter,0.25,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
07_person_enter,0.25,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
07_person_enter,0.25,24,proxy,100,5,"[0, 24, 48, 72, 96]"
07_person_enter,0.25,32,proxy,100,4,"[0, 32, 64, 96]"
07_person_enter,0.35,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
07_person_enter,0.35,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
07_person_enter,0.35,24,proxy,100,5,"[0, 24, 48, 72, 96]"
07_person_enter,0.35,32,proxy,100,4,"[0, 32, 64, 96]"
07_person_enter,0.45,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
07_person_enter,0.45,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
07_person_enter,0.45,24,proxy,100,5,"[0, 24, 48, 72, 96]"
07_person_enter,0.45,32,proxy,100,4,"[0, 32, 64, 96]"
07_person_enter,0.55,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
07_person_enter,0.55,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
07_person_enter,0.55,24,proxy,100,5,"[0, 24, 48, 72, 96]"
07_person_enter,0.55,32,proxy,100,4,"[0, 32, 64, 96]"
08_car_exit,0.25,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
08_car_exit,0.25,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
08_car_exit,0.25,24,proxy,100,5,"[0, 24, 48, 72, 96]"
08_car_exit,0.25,32,proxy,100,4,"[0, 32, 64, 96]"
08_car_exit,0.35,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
08_car_exit,0.35,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
08_car_exit,0.35,24,proxy,100,5,"[0, 24, 48, 72, 96]"
08_car_exit,0.35,32,proxy,100,4,"[0, 32, 64, 96]"
08_car_exit,0.45,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
08_car_exit,0.45,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
08_car_exit,0.45,24,proxy,100,5,"[0, 24, 48, 72, 96]"
08_car_exit,0.45,32,proxy,100,4,"[0, 32, 64, 96]"
08_car_exit,0.55,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
08_car_exit,0.55,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
08_car_exit,0.55,24,proxy,100,5,"[0, 24, 48, 72, 96]"
08_car_exit,0.55,32,proxy,100,4,"[0, 32, 64, 96]"
09_scene_cut_chair_car,0.25,12,proxy,100,9,"[0, 12, 24, 30, 42, 54, 66, 78, 90]"
09_scene_cut_chair_car,0.25,16,proxy,100,7,"[0, 16, 30, 46, 62, 78, 94]"
09_scene_cut_chair_car,0.25,24,proxy,100,5,"[0, 24, 30, 54, 78]"
09_scene_cut_chair_car,0.25,32,proxy,100,4,"[0, 30, 62, 94]"
09_scene_cut_chair_car,0.35,12,proxy,100,9,"[0, 12, 24, 30, 42, 54, 66, 78, 90]"
09_scene_cut_chair_car,0.35,16,proxy,100,7,"[0, 16, 30, 46, 62, 78, 94]"
09_scene_cut_chair_car,0.35,24,proxy,100,5,"[0, 24, 30, 54, 78]"
09_scene_cut_chair_car,0.35,32,proxy,100,4,"[0, 30, 62, 94]"
09_scene_cut_chair_car,0.45,12,proxy,100,9,"[0, 12, 24, 30, 42, 54, 66, 78, 90]"
09_scene_cut_chair_car,0.45,16,proxy,100,7,"[0, 16, 30, 46, 62, 78, 94]"
09_scene_cut_chair_car,0.45,24,proxy,100,5,"[0, 24, 30, 54, 78]"
09_scene_cut_chair_car,0.45,32,proxy,100,4,"[0, 30, 62, 94]"
09_scene_cut_chair_car,0.55,12,proxy,100,9,"[0, 12, 24, 30, 42, 54, 66, 78, 90]"
09_scene_cut_chair_car,0.55,16,proxy,100,7,"[0, 16, 30, 46, 62, 78, 94]"
09_scene_cut_chair_car,0.55,24,proxy,100,5,"[0, 24, 30, 54, 78]"
09_scene_cut_chair_car,0.55,32,proxy,100,4,"[0, 30, 62, 94]"
10_busy_sidewalk,0.25,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
10_busy_sidewalk,0.25,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
10_busy_sidewalk,0.25,24,proxy,100,5,"[0, 24, 48, 72, 96]"
10_busy_sidewalk,0.25,32,proxy,100,4,"[0, 32, 64, 96]"
10_busy_sidewalk,0.35,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
10_busy_sidewalk,0.35,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
10_busy_sidewalk,0.35,24,proxy,100,5,"[0, 24, 48, 72, 96]"
10_busy_sidewalk,0.35,32,proxy,100,4,"[0, 32, 64, 96]"
10_busy_sidewalk,0.45,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
10_busy_sidewalk,0.45,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
10_busy_sidewalk,0.45,24,proxy,100,5,"[0, 24, 48, 72, 96]"
10_busy_sidewalk,0.45,32,proxy,100,4,"[0, 32, 64, 96]"
10_busy_sidewalk,0.55,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
10_busy_sidewalk,0.55,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
10_busy_sidewalk,0.55,24,proxy,100,5,"[0, 24, 48, 72, 96]"
10_busy_sidewalk,0.55,32,proxy,100,4,"[0, 32, 64, 96]"
