video,frame,seed,ablation,path,psnr,ssim,lpips,psnr_delta_vs_awgn,ssim_delta_vs_awgn,lpips_delta_vs_awgn,latency_ms,diffusion_steps,n_patches,wire_bytes,roundtrip_bitexact,failed,failure_stage,failure_message
01_person_walk,0,232440822,baseline,awgn,34.59379196166992,0.9345983862876892,0.12476953864097595,0.0,0.0,0.0,8972.665082663298,50,8,,,False,,
01_person_walk,0,232440822,baseline,digital_inprocess,35.3112907409668,0.9378401637077332,0.12577062845230103,0.717498779296875,0.0032417774200439453,0.0010010898113250732,9468.644477427006,50,8,,,False,,
01_person_walk,0,232440822,baseline,digital_wire,35.311180114746094,0.9378401637077332,0.12576967477798462,0.7173881530761719,0.0032417774200439453,0.001000136137008667,9202.818545512855,50,8,394925,True,False,,
01_person_walk,0,232440822,diffusion_bypass_vae_direct,awgn,35.41138458251953,0.9330312609672546,0.10497196763753891,0.0,0.0,0.0,101.30436904728413,0,8,,,False,,
01_person_walk,0,232440822,diffusion_bypass_vae_direct,digital_inprocess,36.89113235473633,0.9490960240364075,0.07459194213151932,1.4797477722167969,0.016064763069152832,-0.030380025506019592,94.02651991695166,0,8,,,False,,
01_person_walk,0,232440822,diffusion_bypass_vae_direct,digital_wire,36.89109420776367,0.949096143245697,0.07459329068660736,1.4797096252441406,0.016064882278442383,-0.03037867695093155,46.8072984367609,0,8,394925,True,False,,
01_person_walk,1,2061366112,baseline,awgn,34.175628662109375,0.9335188865661621,0.12667316198349,0.0,0.0,0.0,7620.190748013556,50,8,,,False,,
01_person_walk,1,2061366112,baseline,digital_inprocess,35.09537887573242,0.9369158744812012,0.12536466121673584,0.9197502136230469,0.0033969879150390625,-0.0013085007667541504,6419.803055934608,50,8,,,False,,
01_person_walk,1,2061366112,baseline,digital_wire,35.09535217285156,0.9369155764579773,0.12536118924617767,0.9197235107421875,0.0033966898918151855,-0.001311972737312317,6519.256730563939,50,8,394908,True,False,,
01_person_walk,1,2061366112,diffusion_bypass_vae_direct,awgn,35.15165710449219,0.930528461933136,0.10522855818271637,0.0,0.0,0.0,110.49442738294601,0,8,,,False,,
01_person_walk,1,2061366112,diffusion_bypass_vae_direct,digital_inprocess,36.82976531982422,0.9484750628471375,0.07480023801326752,1.6781082153320312,0.017946600914001465,-0.030428320169448853,106.3888343051076,0,8,,,False,,
01_person_walk,1,2061366112,diffusion_bypass_vae_direct,digital_wire,36.82973861694336,0.9484742283821106,0.07479909062385559,1.6780815124511719,0.01794576644897461,-0.03042946755886078,49.176765605807304,0,8,394908,True,False,,
01_person_walk,2,3822363354,baseline,awgn,33.98855209350586,0.9344642758369446,0.1272142082452774,0.0,0.0,0.0,6456.706244498491,50,8,,,False,,
01_person_walk,2,3822363354,baseline,digital_inprocess,35.21297836303711,0.9385826587677002,0.12329661101102829,1.22442626953125,0.004118382930755615,-0.003917597234249115,6597.804724238813,50,8,,,False,,
01_person_walk,2,3822363354,baseline,digital_wire,35.21308135986328,0.9385826587677002,0.12329636514186859,1.2245292663574219,0.004118382930755615,-0.0039178431034088135,7495.66478934139,50,8,394896,True,False,,
01_person_walk,2,3822363354,diffusion_bypass_vae_direct,awgn,35.193321228027344,0.9328219294548035,0.10162380337715149,0.0,0.0,0.0,108.73594786971807,0,8,,,False,,
01_person_walk,2,3822363354,diffusion_bypass_vae_direct,digital_inprocess,37.00545120239258,0.949671745300293,0.07236479967832565,1.8121299743652344,0.016849815845489502,-0.029259003698825836,98.40050060302019,0,8,,,False,,
01_person_walk,2,3822363354,diffusion_bypass_vae_direct,digital_wire,37.00532531738281,0.9496713280677795,0.07236719131469727,1.8120040893554688,0.016849398612976074,-0.029256612062454224,46.9713918864727,0,8,394896,True,False,,
01_person_walk,3,2496893516,baseline,awgn,34.952911376953125,0.9343984127044678,0.1183631643652916,0.0,0.0,0.0,7504.7677885740995,50,8,,,False,,
01_person_walk,3,2496893516,baseline,digital_inprocess,35.32386016845703,0.9391849637031555,0.11941950023174286,0.37094879150390625,0.004786550998687744,0.0010563358664512634,7603.034230880439,50,8,,,False,,
01_person_walk,3,2496893516,baseline,digital_wire,35.32403564453125,0.939186155796051,0.11941540241241455,0.371124267578125,0.004787743091583252,0.0010522380471229553,6981.988965533674,50,8,394906,True,False,,
01_person_walk,3,2496893516,diffusion_bypass_vae_direct,awgn,35.3509407043457,0.9318516850471497,0.10068812221288681,0.0,0.0,0.0,96.41676302999258,0,8,,,False,,
01_person_walk,3,2496893516,diffusion_bypass_vae_direct,digital_inprocess,37.051307678222656,0.9499461650848389,0.07187660038471222,1.7003669738769531,0.01809448003768921,-0.02881152182817459,99.95666705071926,0,8,,,False,,
01_person_walk,3,2496893516,diffusion_bypass_vae_direct,digital_wire,37.05126190185547,0.9499461054801941,0.071873739361763,1.7003211975097656,0.018094420433044434,-0.02881438285112381,55.69195467978716,0,8,394906,True,False,,
01_person_walk,4,179767279,baseline,awgn,34.814762115478516,0.9354491233825684,0.12150357663631439,0.0,0.0,0.0,7036.62606049329,50,8,,,False,,
01_person_walk,4,179767279,baseline,digital_inprocess,35.32456970214844,0.9395003318786621,0.1164533719420433,0.5098075866699219,0.00405120849609375,-0.005050204694271088,6638.710347004235,50,8,,,False,,
01_person_walk,4,179767279,baseline,digital_wire,35.324607849121094,0.9395001530647278,0.1164524108171463,0.5098457336425781,0.004051029682159424,-0.005051165819168091,6670.694495551288,50,8,394909,True,False,,
01_person_walk,4,179767279,diffusion_bypass_vae_direct,awgn,35.192970275878906,0.9325101375579834,0.10143207758665085,0.0,0.0,0.0,93.77915505319834,0,8,,,False,,
01_person_walk,4,179767279,diffusion_bypass_vae_direct,digital_inprocess,37.0438117980957,0.9499099254608154,0.0729062482714653,1.8508415222167969,0.01739978790283203,-0.028525829315185547,95.64588312059641,0,8,,,False,,
01_person_walk,4,179767279,diffusion_bypass_vae_direct,digital_wire,37.043819427490234,0.9499098658561707,0.07290856540203094,1.8508491516113281,0.017399728298187256,-0.028523512184619904,54.91472501307726,0,8,394909,True,False,,
01_person_walk,5,2108700537,baseline,awgn,34.42306137084961,0.9341559410095215,0.12416015565395355,0.0,0.0,0.0,6612.790455110371,50,8,,,False,,
01_person_walk,5,2108700537,baseline,digital_inprocess,35.24837875366211,0.9386353492736816,0.11848831176757812,0.8253173828125,0.004479408264160156,-0.005671843886375427,7992.665517143905,50,8,,,False,,
01_person_walk,5,2108700537,baseline,digital_wire,35.248313903808594,0.9386346936225891,0.11848792433738708,0.8252525329589844,0.004478752613067627,-0.005672231316566467,6609.560523182154,50,8,394918,True,False,,
01_person_walk,5,2108700537,diffusion_bypass_vae_direct,awgn,35.18307113647461,0.9319679141044617,0.10023190081119537,0.0,0.0,0.0,98.37733209133148,0,8,,,False,,
01_person_walk,5,2108700537,diffusion_bypass_vae_direct,digital_inprocess,36.87885665893555,0.9491384029388428,0.07297887653112411,1.6957855224609375,0.017170488834381104,-0.02725302428007126,93.19920465350151,0,8,,,False,,
01_person_walk,5,2108700537,diffusion_bypass_vae_direct,digital_wire,36.87886047363281,0.9491389393806458,0.07297908514738083,1.6957893371582031,0.017171025276184082,-0.027252815663814545,48.9476602524519,0,8,394918,True,False,,
01_person_walk,6,3837355715,baseline,awgn,34.45824432373047,0.934047520160675,0.11910106986761093,0.0,0.0,0.0,6844.723873771727,50,8,,,False,,
01_person_walk,6,3837355715,baseline,digital_inprocess,35.219505310058594,0.9388992786407471,0.11785390973091125,0.761260986328125,0.0048517584800720215,-0.0012471601366996765,6579.780614934862,50,8,,,False,,
01_person_walk,6,3837355715,baseline,digital_wire,35.219451904296875,0.9388993382453918,0.11785911023616791,0.7612075805664062,0.004851818084716797,-0.0012419596314430237,6383.88564158231,50,8,394924,True,False,,
01_person_walk,6,3837355715,diffusion_bypass_vae_direct,awgn,35.05575942993164,0.9325386881828308,0.1015152633190155,0.0,0.0,0.0,121.415956877172,0,8,,,False,,
01_person_walk,6,3837355715,diffusion_bypass_vae_direct,digital_inprocess,36.85078430175781,0.9494361281394958,0.07134053856134415,1.7950248718261719,0.01689743995666504,-0.030174724757671356,116.36445391923189,0,8,,,False,,
01_person_walk,6,3837355715,diffusion_bypass_vae_direct,digital_wire,36.850860595703125,0.9494364857673645,0.07134108990430832,1.7951011657714844,0.01689779758453369,-0.030174173414707184,53.472621366381645,0,8,394924,True,False,,
01_person_walk,7,2478724693,baseline,awgn,34.24400329589844,0.9341810345649719,0.11404944211244583,0.0,0.0,0.0,6900.374677963555,50,8,,,False,,
01_person_walk,7,2478724693,baseline,digital_inprocess,35.28821563720703,0.9388008117675781,0.118192657828331,1.0442123413085938,0.004619777202606201,0.004143215715885162,7010.215254500508,50,8,,,False,,
01_person_walk,7,2478724693,baseline,digital_wire,35.28834533691406,0.9388008713722229,0.11819735914468765,1.044342041015625,0.0046198368072509766,0.004147917032241821,6665.1692958548665,50,8,394897,True,False,,
01_person_walk,7,2478724693,diffusion_bypass_vae_direct,awgn,34.870521545410156,0.9300441741943359,0.10388880968093872,0.0,0.0,0.0,93.17763801664114,0,8,,,False,,
