channel,n_videos,fixed_mean_psnr,skem_mean_psnr,psnr_delta_skem_minus_fixed,fixed_mean_ssim,skem_mean_ssim,ssim_delta_skem_minus_fixed,fixed_mean_lpips,skem_mean_lpips,lpips_delta_skem_minus_fixed,mean_raw_byte_diff_ratio,max_raw_byte_diff_ratio,fixed_padding_bytes_total,skem_padding_bytes_total
float32,10,23.528910659790043,23.528910659790043,0.0,0.7353065524995328,0.7353065524995328,0.0,0.2541060497388244,0.2541060497388244,0.0,3.238893288961056e-05,3.5436765218673194e-05,0,1000
int16,10,23.528912526130675,23.528912526130675,0.0,0.7353065547943116,0.7353065547943116,0.0,0.254105670042336,0.254105670042336,0.0,3.8657867480453436e-05,4.231951572931761e-05,0,1000
int4,10,23.476279297828675,23.476279297828675,0.0,0.7333009636700154,0.7333009636700154,0.0,0.2536186347529292,0.2536186347529292,0.0,4.522156354614576e-05,4.9534082420750425e-05,0,1000
int6,10,23.5266930437088,23.5266930437088,0.0,0.7351980953514576,0.7351980953514576,0.0,0.25405197173357014,0.25405197173357014,0.0,4.3977418676513756e-05,4.816593743437391e-05,0,1000
int8,10,23.528194381713867,23.528194381713867,0.0,0.7353016556501389,0.7353016556501389,0.0,0.25410470813512803,0.25410470813512803,0.0,4.2799901838549214e-05,4.687133817670495e-05,0,1000
