selector,channel,bit_depth,digital_step_policy,fixed_reference_snr_db,ablation_label,psss_backend_kind,reference_channel,n_videos,mean_psnr,mean_ssim,mean_lpips,mean_total_bundle_bytes_per_video,mean_total_bundle_bytes_per_frame,total_nan_or_inf_frames,nonfinite_stages,valid,is_reference,psnr_drop_db,ssim_drop,lpips_rise,byte_ratio_vs_reference,note
fixed,float32,32,fixed_reference,10.0,,,float32,10,23.528910659790043,0.7353065524995328,0.2541060497388244,3346860.5,33468.604999999996,0,,True,True,,,,,
fixed,int16,16,fixed_reference,10.0,,,float32,10,23.528912526130675,0.7353065547943116,0.254105670042336,2802711.7,28027.117,0,,True,False,-1.8663406322616538e-06,-2.294778811418041e-09,-3.7969648841729153e-07,0.8374151536940366,
fixed,int4,4,fixed_reference,10.0,,,float32,10,23.476279297828675,0.7333009636700154,0.2536186347529292,2394650.1,23946.500999999997,0,,True,False,0.05263136196136742,0.002005588829517402,-0.00048741498589521814,0.7154914583383443,
fixed,int6,6,fixed_reference,10.0,,,float32,10,23.5266930437088,0.7351980953514576,0.25405197173357014,2462643.7,24626.437,0,,True,False,0.0022176160812428236,0.00010845714807516948,-5.4078005254254435e-05,0.7358070944396996,
fixed,int8,8,fixed_reference,10.0,,,float32,10,23.528194381713867,0.7353016556501389,0.25410470813512803,2530637.3,25306.373,0,,True,False,0.0007162780761760246,4.896849393865033e-06,-1.3416036963587175e-06,0.7561227305410547,
skem,float32,32,fixed_reference,10.0,,proxy,float32,10,23.528910659790043,0.7353065524995328,0.2541060497388244,3346760.5,33467.604999999996,0,,True,True,,,,,
skem,int16,16,fixed_reference,10.0,,proxy,float32,10,23.528912526130675,0.7353065547943116,0.254105670042336,2802611.7,28026.117,0,,True,False,-1.8663406322616538e-06,-2.294778811418041e-09,-3.7969648841729153e-07,0.8374102957173064,
skem,int4,4,fixed_reference,10.0,,proxy,float32,10,23.476279297828675,0.7333009636700154,0.2536186347529292,2394550.1,23945.500999999997,0,,True,False,0.05263136196136742,0.002005588829517402,-0.00048741498589521814,0.7154829573254495,
skem,int6,6,fixed_reference,10.0,,proxy,float32,10,23.5266930437088,0.7351980953514576,0.25405197173357014,2462543.7,24625.437,0,,True,False,0.0022176160812428236,0.00010845714807516948,-5.4078005254254435e-05,0.7357992004507046,
skem,int8,8,fixed_reference,10.0,,proxy,float32,10,23.528194381713867,0.7353016556501389,0.25410470813512803,2530537.3,25305.373,0,,True,False,0.0007162780761760246,4.896849393865033e-06,-1.3416036963587175e-06,0.7561154435759594,
