video,frame,seed,ablation,path,psnr,ssim,lpips,psnr_delta_vs_awgn,ssim_delta_vs_awgn,lpips_delta_vs_awgn,latency_ms,diffusion_steps,n_patches,wire_bytes,roundtrip_bitexact,failed,failure_stage,failure_message
07_person_enter,0,527550125,baseline,awgn,34.97252655029297,0.9363600611686707,0.1140628308057785,0.0,0.0,0.0,8980.128701776266,50,8,,,False,,
07_person_enter,0,527550125,baseline,digital_inprocess,35.59304428100586,0.9415672421455383,0.11206381767988205,0.6205177307128906,0.005207180976867676,-0.001999013125896454,8736.392067745328,50,8,,,False,,
07_person_enter,0,527550125,baseline,digital_wire,35.59306716918945,0.9415679574012756,0.11206040531396866,0.6205406188964844,0.0052078962326049805,-0.002002425491809845,11110.959772020578,50,8,394903,True,False,,
07_person_enter,1,1752626747,baseline,awgn,35.24159240722656,0.9381235241889954,0.11530119180679321,0.0,0.0,0.0,9248.710199259222,50,8,,,False,,
07_person_enter,1,1752626747,baseline,digital_inprocess,35.57353210449219,0.9423814415931702,0.11268312484025955,0.331939697265625,0.004257917404174805,-0.002618066966533661,9457.955830730498,50,8,,,False,,
07_person_enter,1,1752626747,baseline,digital_wire,35.57349395751953,0.9423819184303284,0.11267370730638504,0.33190155029296875,0.004258394241333008,-0.0026274845004081726,11336.110136471689,50,8,394882,True,False,,
07_person_enter,2,4051675009,baseline,awgn,35.4765625,0.9374804496765137,0.11412423849105835,0.0,0.0,0.0,9313.702845014632,50,8,,,False,,
07_person_enter,2,4051675009,baseline,digital_inprocess,35.5823860168457,0.9415033459663391,0.1126251071691513,0.10582351684570312,0.0040228962898254395,-0.0014991313219070435,9734.539834782481,50,8,,,False,,
07_person_enter,2,4051675009,baseline,digital_wire,35.58240509033203,0.9415044784545898,0.11262193322181702,0.10584259033203125,0.004024028778076172,-0.001502305269241333,12220.527213998139,50,8,394887,True,False,,
07_person_enter,3,2256049943,baseline,awgn,35.165733337402344,0.937211275100708,0.11745280027389526,0.0,0.0,0.0,9808.252521790564,50,8,,,False,,
07_person_enter,3,2256049943,baseline,digital_inprocess,35.58739471435547,0.9417028427124023,0.11341032385826111,0.421661376953125,0.004491567611694336,-0.004042476415634155,10019.345246255398,50,8,,,False,,
07_person_enter,3,2256049943,baseline,digital_wire,35.587276458740234,0.9417028427124023,0.11341556906700134,0.4215431213378906,0.004491567611694336,-0.004037231206893921,10949.922260828316,50,8,394898,True,False,,
07_person_enter,4,404488884,baseline,awgn,35.18214797973633,0.9368714690208435,0.10991417616605759,0.0,0.0,0.0,9682.756066322327,50,8,,,False,,
07_person_enter,4,404488884,baseline,digital_inprocess,35.59159469604492,0.9413400292396545,0.11302164942026138,0.40944671630859375,0.004468560218811035,0.0031074732542037964,10148.692903108895,50,8,,,False,,
07_person_enter,4,404488884,baseline,digital_wire,35.59156036376953,0.9413403868675232,0.1130240187048912,0.4094123840332031,0.0044689178466796875,0.003109842538833618,11027.85324305296,50,8,394891,True,False,,
07_person_enter,5,1864053282,baseline,awgn,35.313636779785156,0.9370056986808777,0.11486631631851196,0.0,0.0,0.0,9593.18605531007,50,8,,,False,,
07_person_enter,5,1864053282,baseline,digital_inprocess,35.596920013427734,0.9410719871520996,0.11435827612876892,0.2832832336425781,0.004066288471221924,-0.000508040189743042,10155.946996062994,50,8,,,False,,
07_person_enter,5,1864053282,baseline,digital_wire,35.596900939941406,0.9410722851753235,0.11436036974191666,0.28326416015625,0.004066586494445801,-0.0005059465765953064,11474.820792675018,50,8,394870,True,False,,
07_person_enter,6,4128400280,baseline,awgn,35.47126770019531,0.9367384910583496,0.11464628577232361,0.0,0.0,0.0,9340.221386402845,50,8,,,False,,
07_person_enter,6,4128400280,baseline,digital_inprocess,35.627315521240234,0.940898597240448,0.11411995440721512,0.15604782104492188,0.004160106182098389,-0.00052633136510849,10598.742108792067,50,8,,,False,,
07_person_enter,6,4128400280,baseline,digital_wire,35.62742614746094,0.9408997893333435,0.11411634832620621,0.156158447265625,0.0041612982749938965,-0.0005299374461174011,10595.370789989829,50,8,394875,True,False,,
07_person_enter,7,2165658382,baseline,awgn,35.015968322753906,0.9331235289573669,0.11769859492778778,0.0,0.0,0.0,8886.348786763847,50,8,,,False,,
07_person_enter,7,2165658382,baseline,digital_inprocess,35.63502883911133,0.9393818378448486,0.11617429554462433,0.6190605163574219,0.0062583088874816895,-0.0015242993831634521,9927.44276393205,50,8,,,False,,
07_person_enter,7,2165658382,baseline,digital_wire,35.634761810302734,0.9393818378448486,0.1161678284406662,0.6187934875488281,0.0062583088874816895,-0.001530766487121582,10254.00960817933,50,8,394879,True,False,,
07_person_enter,8,296373919,baseline,awgn,35.12020492553711,0.9354965090751648,0.11579133570194244,0.0,0.0,0.0,9468.488972634077,50,8,,,False,,
07_person_enter,8,296373919,baseline,digital_inprocess,35.63247299194336,0.9390948414802551,0.11656439304351807,0.51226806640625,0.003598332405090332,0.0007730573415756226,10063.632857985795,50,8,,,False,,
07_person_enter,8,296373919,baseline,digital_wire,35.63257598876953,0.9390951991081238,0.11655692756175995,0.5123710632324219,0.0035986900329589844,0.0007655918598175049,11101.723636500537,50,8,394879,True,False,,
07_person_enter,9,1722646025,baseline,awgn,35.12092590332031,0.9328466057777405,0.12207318842411041,0.0,0.0,0.0,9306.500659324229,50,8,,,False,,
07_person_enter,9,1722646025,baseline,digital_inprocess,35.587772369384766,0.9378778338432312,0.1196727305650711,0.4668464660644531,0.005031228065490723,-0.0024004578590393066,10785.816329531372,50,8,,,False,,
07_person_enter,9,1722646025,baseline,digital_wire,35.587921142578125,0.9378783702850342,0.1196785420179367,0.4669952392578125,0.005031764507293701,-0.002394646406173706,10560.548202134669,50,8,394882,True,False,,
