video,frame,seed,ablation,path,psnr,ssim,lpips,psnr_delta_vs_awgn,ssim_delta_vs_awgn,lpips_delta_vs_awgn,latency_ms,diffusion_steps,n_patches,wire_bytes,roundtrip_bitexact,failed,failure_stage,failure_message
01_person_walk,0,232440822,baseline,awgn,34.59379196166992,0.9345983862876892,0.12476953864097595,0.0,0.0,0.0,9139.349516481161,50,8,,,False,,
01_person_walk,0,232440822,baseline,digital_inprocess,35.3112907409668,0.9378401637077332,0.12577062845230103,0.717498779296875,0.0032417774200439453,0.0010010898113250732,8668.632146902382,50,8,,,False,,
01_person_walk,0,232440822,baseline,digital_wire,35.311180114746094,0.9378401637077332,0.12576967477798462,0.7173881530761719,0.0032417774200439453,0.001000136137008667,10795.656327158213,50,8,394925,True,False,,
01_person_walk,0,232440822,controlnet_off,awgn,34.59371566772461,0.9345964789390564,0.12477949261665344,0.0,0.0,0.0,2315.092636272311,50,8,,,False,,
01_person_walk,0,232440822,controlnet_off,digital_inprocess,35.311275482177734,0.9378392696380615,0.12577566504478455,0.717559814453125,0.003242790699005127,0.0009961724281311035,2634.2133544385433,50,8,,,False,,
01_person_walk,0,232440822,controlnet_off,digital_wire,35.31108093261719,0.9378392100334167,0.12577450275421143,0.7173652648925781,0.0032427310943603516,0.0009950101375579834,2207.174309529364,50,8,394925,True,False,,
01_person_walk,0,232440822,serialized_raw_edge,awgn,34.761558532714844,0.9336269497871399,0.12417635321617126,0.0,0.0,0.0,6658.611797727644,50,8,,,False,,
01_person_walk,0,232440822,serialized_raw_edge,digital_inprocess,35.311378479003906,0.937840461730957,0.12576571106910706,0.5498199462890625,0.004213511943817139,0.001589357852935791,7886.099715717137,50,8,,,False,,
01_person_walk,0,232440822,serialized_raw_edge,digital_wire,35.311180114746094,0.9378401637077332,0.12576967477798462,0.54962158203125,0.004213213920593262,0.0015933215618133545,6858.6770026013255,50,8,394925,True,False,,
01_person_walk,0,232440822,awgn_edge_retransmit,awgn,34.59379196166992,0.9345983862876892,0.12476953864097595,0.0,0.0,0.0,6844.354562461376,50,8,,,False,,
01_person_walk,0,232440822,awgn_edge_retransmit,digital_inprocess,35.3112907409668,0.9378401637077332,0.12577062845230103,0.717498779296875,0.0032417774200439453,0.0010010898113250732,6770.19271440804,50,8,,,False,,
01_person_walk,0,232440822,awgn_edge_retransmit,digital_wire,35.31114959716797,0.9378401637077332,0.12577097117900848,0.7173576354980469,0.0032417774200439453,0.0010014325380325317,6693.015452474356,50,8,394925,True,False,,
01_person_walk,0,232440822,latent_only,awgn,34.76158905029297,0.9336263537406921,0.12417862564325333,0.0,0.0,0.0,5861.160813830793,50,8,,,False,,
01_person_walk,0,232440822,latent_only,digital_inprocess,35.31136703491211,0.9378400444984436,0.12577472627162933,0.5497779846191406,0.004213690757751465,0.001596100628376007,7768.975286744535,50,8,,,False,,
01_person_walk,0,232440822,latent_only,digital_wire,35.31119155883789,0.9378398060798645,0.12577497959136963,0.5496025085449219,0.004213452339172363,0.0015963539481163025,7230.412404984236,50,8,394925,True,False,,
01_person_walk,0,232440822,uncertainty_off,awgn,34.59377670288086,0.9345983862876892,0.12476630508899689,0.0,0.0,0.0,7019.784840755165,50,8,,,False,,
01_person_walk,0,232440822,uncertainty_off,digital_inprocess,35.31129455566406,0.9378402233123779,0.12577126920223236,0.7175178527832031,0.0032418370246887207,0.0010049641132354736,8160.410118289292,50,8,,,False,,
01_person_walk,0,232440822,uncertainty_off,digital_wire,35.311180114746094,0.9378401637077332,0.12576967477798462,0.7174034118652344,0.0032417774200439453,0.001003369688987732,6320.538031868637,50,8,394925,True,False,,
01_person_walk,0,232440822,edge_and_uncertainty_off,awgn,34.76152801513672,0.9336273670196533,0.1241735965013504,0.0,0.0,0.0,7378.198520280421,50,8,,,False,,
01_person_walk,0,232440822,edge_and_uncertainty_off,digital_inprocess,35.31135177612305,0.9378408789634705,0.12576939165592194,0.5498237609863281,0.004213511943817139,0.0015957951545715332,7212.754683569074,50,8,,,False,,
01_person_walk,0,232440822,edge_and_uncertainty_off,digital_wire,35.31117248535156,0.9378401637077332,0.12576891481876373,0.5496444702148438,0.004212796688079834,0.00159531831741333,7653.14182266593,50,8,394925,True,False,,
01_person_walk,0,232440822,fixed_reference_step,awgn,34.59379196166992,0.9345983862876892,0.12476953864097595,0.0,0.0,0.0,6863.906744867563,50,8,,,False,,
01_person_walk,0,232440822,fixed_reference_step,digital_inprocess,35.3112907409668,0.9378401637077332,0.12577062845230103,0.717498779296875,0.0032417774200439453,0.0010010898113250732,7242.486301809549,50,8,,,False,,
01_person_walk,0,232440822,fixed_reference_step,digital_wire,35.311180114746094,0.9378401637077332,0.12576967477798462,0.7173881530761719,0.0032417774200439453,0.001000136137008667,6563.593257218599,50,8,394925,True,False,,
01_person_walk,0,232440822,reuse_awgn_step,awgn,34.59379196166992,0.9345983862876892,0.12476953864097595,0.0,0.0,0.0,7576.878747902811,50,8,,,False,,
