policy,h_add,absent_opportunities,additional_detections,additional_event_count,affected_video_count,affected_seed_count,max_single_video_event_share,max_single_seed_event_share
few10,0.019793459552495698,45318,897,495,24,3,0.18181818181818182,0.3333333333333333
full50,0.018535681186283594,45318,840,441,23,3,0.19727891156462585,0.3333333333333333
