video,frame,seed,ablation,path,psnr,ssim,lpips,psnr_delta_vs_awgn,ssim_delta_vs_awgn,lpips_delta_vs_awgn,latency_ms,diffusion_steps,n_patches,wire_bytes,roundtrip_bitexact,failed,failure_stage,failure_message
09_scene_cut_chair_car,0,626794478,baseline,awgn,37.33464813232422,0.9831934571266174,0.14206092059612274,0.0,0.0,0.0,9423.590046353638,50,8,,,False,,
09_scene_cut_chair_car,0,626794478,baseline,digital_inprocess,37.66170120239258,0.9845128059387207,0.14332783222198486,0.3270530700683594,0.0013193488121032715,0.0012669116258621216,8784.234873019159,50,8,,,False,,
09_scene_cut_chair_car,0,626794478,baseline,digital_wire,37.661460876464844,0.9845121502876282,0.14333823323249817,0.326812744140625,0.0013186931610107422,0.0012773126363754272,10140.949903056026,50,8,394852,True,False,,
09_scene_cut_chair_car,1,1381707640,baseline,awgn,37.565181732177734,0.9837984442710876,0.1289905607700348,0.0,0.0,0.0,9063.739039003849,50,8,,,False,,
09_scene_cut_chair_car,1,1381707640,baseline,digital_inprocess,37.606727600097656,0.9845255017280579,0.14090397953987122,0.041545867919921875,0.0007270574569702148,0.011913418769836426,8437.295730225742,50,8,,,False,,
09_scene_cut_chair_car,1,1381707640,baseline,digital_wire,37.60658645629883,0.9845253825187683,0.14090202748775482,0.04140472412109375,0.0007269382476806641,0.011911466717720032,9035.079315304756,50,8,394847,True,False,,
09_scene_cut_chair_car,2,3411181250,baseline,awgn,37.26127243041992,0.9830984473228455,0.14722615480422974,0.0,0.0,0.0,9453.378221951425,50,8,,,False,,
09_scene_cut_chair_car,2,3411181250,baseline,digital_inprocess,37.61267852783203,0.9844847321510315,0.14256101846694946,0.3514060974121094,0.0013862848281860352,-0.0046651363372802734,8258.813333697617,50,8,,,False,,
09_scene_cut_chair_car,2,3411181250,baseline,digital_wire,37.61273193359375,0.9844853281974792,0.142569899559021,0.3514595031738281,0.001386880874633789,-0.00465625524520874,9612.923108041286,50,8,394863,True,False,,
09_scene_cut_chair_car,3,3159707220,baseline,awgn,37.811004638671875,0.9839012026786804,0.1382468044757843,0.0,0.0,0.0,9352.578988298774,50,8,,,False,,
09_scene_cut_chair_car,3,3159707220,baseline,digital_inprocess,37.63249969482422,0.9844244122505188,0.143267422914505,-0.17850494384765625,0.0005232095718383789,0.005020618438720703,8940.67959766835,50,8,,,False,,
09_scene_cut_chair_car,3,3159707220,baseline,digital_wire,37.6322021484375,0.9844240546226501,0.1432776004076004,-0.178802490234375,0.0005228519439697266,0.005030795931816101,10383.116235025227,50,8,394852,True,False,,
09_scene_cut_chair_car,4,573692919,baseline,awgn,37.47735595703125,0.9829209446907043,0.14425097405910492,0.0,0.0,0.0,9574.091198854148,50,8,,,False,,
09_scene_cut_chair_car,4,573692919,baseline,digital_inprocess,37.68103790283203,0.98431795835495,0.1426960974931717,0.20368194580078125,0.0013970136642456055,-0.0015548765659332275,9025.638110004365,50,8,,,False,,
09_scene_cut_chair_car,4,573692919,baseline,digital_wire,37.68136215209961,0.9843180775642395,0.1427019089460373,0.20400619506835938,0.0013971328735351562,-0.001549065113067627,10317.85114761442,50,8,394866,True,False,,
09_scene_cut_chair_car,5,1429662561,baseline,awgn,37.313987731933594,0.9828073382377625,0.13970589637756348,0.0,0.0,0.0,10191.123646683991,50,8,,,False,,
09_scene_cut_chair_car,5,1429662561,baseline,digital_inprocess,37.529052734375,0.9838995933532715,0.1462182253599167,0.21506500244140625,0.0010922551155090332,0.0065123289823532104,9159.262496046722,50,8,,,False,,
09_scene_cut_chair_car,5,1429662561,baseline,digital_wire,37.529178619384766,0.9838997721672058,0.14622780680656433,0.21519088745117188,0.0010924339294433594,0.0065219104290008545,10450.487922877073,50,8,394869,True,False,,
09_scene_cut_chair_car,6,3426728667,baseline,awgn,37.335899353027344,0.9826808571815491,0.15281113982200623,0.0,0.0,0.0,10387.852877378464,50,8,,,False,,
09_scene_cut_chair_car,6,3426728667,baseline,digital_inprocess,37.67131423950195,0.9840663075447083,0.14722532033920288,0.3354148864746094,0.0013854503631591797,-0.005585819482803345,9373.704598285258,50,8,,,False,,
09_scene_cut_chair_car,6,3426728667,baseline,digital_wire,37.67135238647461,0.9840660691261292,0.14722353219985962,0.3354530334472656,0.0013852119445800781,-0.0055876076221466064,10922.195234335959,50,8,394864,True,False,,
